ID,Brand,Model,Fuel,Mileage,Year,Transmission,Price,Bodywork,CO2,Color,Euro Standard,Doors,HP,Description,Link
FB122034,Kia,Sportage,Diesel,84625,2020,Manual,17290,SUV,122.0,Grijs,Euro 6,5,116,"Deze Kia Sportage Must*GPS*APS Ar*Clim is voor het eerst ingeschreven in 2020 

en heeft 84 625 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereKia Sportage",https://www.autosphere.be/nl/detail/kia-sportage-must*gps*aps-ar*clim-1030-bruxelles-fb122034
FB128040,Renault,Clio,Hybride,40762,2023,Automatic,20990,Limousine,97.0,Grijs,Euro 6,5,94,"Deze Renault Clio V Techno PACK CITY PREMIUM is voor het eerst ingeschreven in 2023 

en heeft 40 762 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-v-techno-pack-city-premium-1930-zaventem-fb128040
FB126813,Renault,Talisman,Gas,51757,2017,Automatic,16990,Limousine,1.0,Beige,Euro 6,5,150,"Deze Renault Talisman *Boite auto*GPS*Carplay*CamĂ©ra*APS Av/Ar*Clim auto is voor het eerst ingeschreven in 2017 

en heeft 51 757 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Talisman",https://www.autosphere.be/nl/detail/renault-talisman-*boite-auto*gps*carplay*camera*aps-av-ar*clim-auto-1030-bruxelles-fb126813
FB126950,Peugeot,3008,Hybride,75327,2020,Automatic,21490,SUV,21.0,Grijs,Euro 6,5,181,"Deze Peugeot 3008 II Allure 180 is voor het eerst ingeschreven in 2020 

en heeft 75 327 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze anderePeugeot 3008",https://www.autosphere.be/nl/detail/peugeot-3008-ii-allure-180-1030-bruxelles-fb126950
FB128007,Renault,Megane,Gas,37742,2017,Manual,12990,Limousine,119.0,Zwart,Euro 6,5,132,"Deze Renault Megane Bose Edition Â Â Â Â Â Â Â Â Â Â Â Â  is voor het eerst ingeschreven in 2017 

en heeft 37 742 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Megane",https://www.autosphere.be/nl/detail/renault-megane-bose-edition-%C2%A0%C2%A0%C2%A0%C2%A0%C2%A0%C2%A0%C2%A0%C2%A0%C2%A0%C2%A0%C2%A0%C2%A0-1030-bruxelles-fb128007
FB127435,Renault,Espace,Hybride,34278,2023,Automatic,39990,Van,108.0,Rood,Euro 6,5,131,"Deze Renault Espace VI Iconic 200CV 7 places is voor het eerst ingeschreven in 2023 

en heeft 34 278 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Espace",https://www.autosphere.be/nl/detail/renault-espace-vi-iconic-200cv-7-places-1030-bruxelles-fb127435
FB116727,Renault,Austral,Hybride,29009,2023,Automatic,29990,SUV,1.0,Rood,Euro 6,5,130,"Deze Renault Austral 200cv*Boite auto*GPS*Carplay*CamĂ©ra*APS Av/Ar*Led is voor het eerst ingeschreven in 2023 

en heeft 29 009 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Austral",https://www.autosphere.be/nl/detail/renault-austral-200cv*boite-auto*gps*carplay*camera*aps-av-ar*led-1050-bruxelles-fb116727
FB116697,Toyota,Yaris,Hybride,52952,2022,Automatic,18490,City,87.0,Wit,Euro 6,5,92,"Deze Toyota Yaris *Boite auto*GPS*CamĂ©ra*Clim auto is voor het eerst ingeschreven in 2022 

en heeft 52 952 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereToyota Yaris",https://www.autosphere.be/nl/detail/toyota-yaris-*boite-auto*gps*camera*clim-auto-1050-bruxelles-fb116697
FB116772,Renault,Espace,Hybride,18401,2023,Automatic,41990,SUV,107.0,Grijs,Euro 6,5,131,"Deze Renault Espace Esprit Alpine 200cv*Boite auto*GPS*Carplay*CamĂ©ra is voor het eerst ingeschreven in 2023 

en heeft 18 401 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Espace",https://www.autosphere.be/nl/detail/renault-espace-esprit-alpine-200cv*boite-auto*gps*carplay*camera-1050-bruxelles-fb116772
FB117473,Dacia,Sandero Stepway,LPG,44176,2023,Manual,14990,SUV,130.0,Wit,Euro 6,5,100,"Deze Dacia Sandero Stepway III Expression is voor het eerst ingeschreven in 2023 

en heeft 44 176 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereDacia Sandero Stepway",https://www.autosphere.be/nl/detail/dacia-sandero-stepway-iii-expression-1050-bruxelles-fb117473
FB118902,Renault,Austral,Hybride,21871,2023,Automatic,35990,SUV,107.0,Grijs,Euro 6,5,131,"Deze Renault Austral Esprit Alpine 200cv*Boite auto*GPS*Carplay*CamĂ©ra is voor het eerst ingeschreven in 2023 

en heeft 21 871 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Austral",https://www.autosphere.be/nl/detail/renault-austral-esprit-alpine-200cv*boite-auto*gps*carplay*camera-1050-bruxelles-fb118902
FB120521,Renault,Captur,Gas,19964,2024,Manual,19990,SUV,133.0,Grijs,Euro 6,5,91,"Deze Renault Captur *GPS*Carplay*CamĂ©ra*APS Av/Ar*Clim auto is voor het eerst ingeschreven in 2024 

en heeft 19 964 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Captur",https://www.autosphere.be/nl/detail/renault-captur-*gps*carplay*camera*aps-av-ar*clim-auto-1050-bruxelles-fb120521
FB120867,Renault,Clio,Gas,6152,2024,Manual,17390,City,1.0,Zwart,Euro 6,5,91,"Deze Renault Clio *GPS*Carplay*Clim auto*APS Ar*RĂ©gul is voor het eerst ingeschreven in 2024 

en heeft 6 152 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-*gps*carplay*clim-auto*aps-ar*regul-1050-bruxelles-fb120867
FB122066,Renault,Arkana,Hybride,23821,2022,Automatic,23990,SUV,110.0,Blauw,Euro 6,4,94,"Deze Renault Arkana R.S. Line*GPS*Carplay*LED*Cuir*APS Av/Arf is voor het eerst ingeschreven in 2022 

en heeft 23 821 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Arkana",https://www.autosphere.be/nl/detail/renault-arkana-r-s-line*gps*carplay*led*cuir*aps-av-arf-1050-bruxelles-fb122066
FB122042,Renault,Clio,Gas,5299,2023,Manual,17490,City,119.0,Zwart,Euro 6,5,91,"Deze Renault Clio *GPS*Carplay*CamĂ©ra*APS Ar*Clim auto is voor het eerst ingeschreven in 2023 

en heeft 5 299 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-*gps*carplay*camera*aps-ar*clim-auto-1050-bruxelles-fb122042
FB124548,Peugeot,3008,Hybride,69422,2020,Automatic,22990,SUV,160.0,Wit,Euro 6,5,200,"Deze Peugeot 3008 GT is voor het eerst ingeschreven in 2020 

en heeft 69 422 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze anderePeugeot 3008",https://www.autosphere.be/nl/detail/peugeot-3008-gt-1050-bruxelles-fb124548
FB124470,Renault,Captur,Gas,13233,2023,Manual,18990,SUV,130.0,Grijs,Euro 6,5,91,"Deze Renault Captur Techno is voor het eerst ingeschreven in 2023 

en heeft 13 233 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Captur",https://www.autosphere.be/nl/detail/renault-captur-techno-1050-bruxelles-fb124470
FB125859,Renault,Clio,Gas,11451,2023,Manual,17990,Limousine,119.0,Blauw,Euro 6,5,91,"Deze Renault Clio 1.0 TCe Techno is voor het eerst ingeschreven in 2023 

en heeft 11 451 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-1-0-tce-techno-1050-bruxelles-fb125859
FB127103,Renault,Clio,Gas,9451,2023,Manual,16690,Limousine,118.0,Blauw,Euro 6,5,91,"Deze Renault Clio 1.0 TCe Evolution is voor het eerst ingeschreven in 2023 

en heeft 9 451 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-1-0-tce-evolution-1050-bruxelles-fb127103
FB128112,Alfa Romeo,Giulietta,Gas,37249,2019,Manual,14990,Limousine,177.0,Rood,Euro 6,5,120,"Deze Alfa Romeo Giulietta Super is voor het eerst ingeschreven in 2019 

en heeft 37 249 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereAlfa Romeo Giulietta",https://www.autosphere.be/nl/detail/alfa-romeo-giulietta-super-1050-bruxelles-fb128112
FB127543,Renault,Scenic,Gas,55499,2020,Manual,16490,Van,154.0,Zilvergrijs,Euro 6,5,116,"Deze Renault Scenic IV Intens toit panoramique en verre is voor het eerst ingeschreven in 2020 

en heeft 55 499 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Scenic",https://www.autosphere.be/nl/detail/renault-scenic-iv-intens-toit-panoramique-en-verre-1050-bruxelles-fb127543
FB127665,Renault,Arkana,Hybride,7660,2024,Automatic,27990,SUV,133.0,Rood,Euro 6,5,94,"Deze Renault Arkana Techno is voor het eerst ingeschreven in 2024 

en heeft 7 660 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Arkana",https://www.autosphere.be/nl/detail/renault-arkana-techno-1620-drogenbos-fb127665
FB116705,Renault,Megane E-Tech,Elektrisch,22001,2023,Automatic,27990,Limousine,119.22670807453416,Grijs,Euro 6,5,220,"Deze Renault Megane E-Tech *60 kWh*GPS*Carplay*CamĂ©ra*APS Ar*Led is voor het eerst ingeschreven in 2023 

en heeft 22 001 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Megane E-Tech",https://www.autosphere.be/nl/detail/renault-megane-e-tech-*60-kwh*gps*carplay*camera*aps-ar*led-1620-drogenbos-fb116705
FB118542,Renault,Captur,Gas,16753,2024,Manual,19990,SUV,132.0,Grijs,Euro 6,5,91,"Deze Renault Captur *GPS*Carplay*CamĂ©ra*APS Av/Ar*Clim auto is voor het eerst ingeschreven in 2024 

en heeft 16 753 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Captur",https://www.autosphere.be/nl/detail/renault-captur-*gps*carplay*camera*aps-av-ar*clim-auto-1620-drogenbos-fb118542
FB117463,Dacia,Sandero Stepway,LPG,56219,2023,Manual,14990,SUV,115.0,Wit,Euro 6,5,100,"Deze Dacia Sandero Stepway Expression is voor het eerst ingeschreven in 2023 

en heeft 56 219 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereDacia Sandero Stepway",https://www.autosphere.be/nl/detail/dacia-sandero-stepway-expression-1620-drogenbos-fb117463
FB116729,Opel,Movano,Diesel,70860,2021,Manual,21990,Other,1.0,Wit,Euro 6,4,140,"Deze Opel Movano L2 H2*GPS*Clim*Bluetooth is voor het eerst ingeschreven in 2021 

en heeft 70 860 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereOpel Movano",https://www.autosphere.be/nl/detail/opel-movano-l2-h2*gps*clim*bluetooth-1620-drogenbos-fb116729
FB117807,Kia,Sportage,Gas,39308,2021,Automatic,21990,SUV,160.0,Grijs,Euro 6,5,177,"Deze Kia Sportage GT Line*Boite auto*GPS*Carplay*CamĂ©ra is voor het eerst ingeschreven in 2021 

en heeft 39 308 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereKia Sportage",https://www.autosphere.be/nl/detail/kia-sportage-gt-line*boite-auto*gps*carplay*camera-1620-drogenbos-fb117807
FB127615,Nissan,Juke,Gas,65678,2022,Manual,16990,SUV,138.0,Grijs,Euro 6,5,114,"Deze Nissan Juke N-Design is voor het eerst ingeschreven in 2022 

en heeft 65 678 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereNissan Juke",https://www.autosphere.be/nl/detail/nissan-juke-n-design-1620-drogenbos-fb127615
FB118334,Suzuki,Ignis,Hybride,8988,2020,Manual,11990,SUV,114.0,Blauw,Euro 6,5,83,"Deze Suzuki Ignis GL*GPS*Clim*Jantes alu*Bluetooth is voor het eerst ingeschreven in 2020 

en heeft 8 988 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereSuzuki Ignis",https://www.autosphere.be/nl/detail/suzuki-ignis-gl*gps*clim*jantes-alu*bluetooth-1620-drogenbos-fb118334
